item_name_orig,mean_median_execution_time,rank
weights,9.434129248722456,1.0
perf_branch_misses,9.533639238495379,2.0
perf_branches,9.535933777305763,3.0
perf_cache_misses,9.53703434979543,4.0
perf_cache_references,9.541116936481558,5.0
time,9.54426216132706,6.0
perf_instructions,9.544468292582314,7.0
perf_cycles,9.54753545440035,8.0
perf_time,9.559625780710485,9.0
perf_L1_dcache_loads,9.593444641202222,10.0
perf_faults,9.604220683814493,11.0
energy,9.92831167874101,12.0
perf_cpu_clock,12.904792531626299,13.0
original,15.32724833796965,14.0
perf_task_clock,15.419925734808203,15.0
